target,averageFixationDuration,averageRegressionDuration,totalRegressionDurationPerLine,averageSaccadeDuration,averageSaccadeVelocity,SaccadeAmpPerLine,FixDurationPerSaccAmp,FixDuration*SaccAmpPerLine

1,333.0205761316872,519.2727273,248.3478261,336.1626016260163,418.7004601352485,25.9226087,136.9024857,91995.95705
0,249.33900709219859,250.7962962962963,322.45238095238096,247.76997245179064,540.1103899473623,34.46095238,122.4311851,145394.0401

1,394.74666666666667,449.2954545,859.5217391,411.3786666666667,423.1903329794728,35.4073913,181.9357295,228089.7964
0,365.5191040843215,385.25,990.6428571428571,378.23865110246436,430.23466893852225,35.86761905,185.4557765,238586.278

1,574.1584158415842,479.5555556,562.9565217,567.2758620689655,307.7432698804045,35.4073913,181.9357295,228089.7964
0,580.0990099009902,377.77777777777777,404.76190476190476,580.9037037037037,298.9324966978576,28.36785714,197.1354232,158641.8377

1,680.5748299319728,347.6666667,498.826087,722.2935153583618,341.5395533208078,26.74304348,325.3003625,232651.6881
0,611.8937007874016,433.55555555555554,557.4285714285714,657.2137254901961,383.5965614903338,26.05119048,284.5514783,193114.9939

1,477.29597701149424,548.2571429,834.3043478,506.14204545454544,407.638288654579,34.86652174,208.0780118,252955.0993
0,323.77338129496405,388.765625,592.4047619047619,350.0782918149466,456.18821287236426,36.16809524,179.6176583,234963.4473