story,subject,fixationCount,totalFixationDuration,averageFixationDuration,fixationFrequency,fixationCountPerLine,totalFixationDurationPerLine

3,1,243,80924.0,333.0205761316872,2.940535830973644,10.565217391304348,3518.4347826086955
3,2,375,148030.0,394.74666666666667,2.4312916966525977,16.304347826086957,6436.086956521739
3,3,202,115980.0,574.1584158415842,1.7536244465665423,8.782608695652174,5042.608695652174
3,4,294,200089.0,680.5748299319728,1.389203901111363,12.782608695652174,8699.521739130434
3,6,348,166099.0,477.29597701149424,1.9506835800649107,15.130434782608695,7221.695652173913

1,1,355,114831.0,323.4676056338028,3.0404508431898183,11.09375,3588.46875
1,2,425,151358.0,356.1364705882353,2.671998088735485,13.28125,4729.9375
1,3,249,132559.0,532.3654618473896,1.88011084348266,7.78125,4142.46875
1,4,312,203272.0,651.5128205128206,1.4613446244063286,9.75,6352.25
1,5,280,143165.0,511.30357142857144,1.9242134777409732,8.75,4473.90625
1,6,339,179306.0,528.9262536873156,1.7925032122292077,10.59375,5603.3125

4,1,736,173120.0,235.2173913043478,3.862462739829548,12.689655172413794,2984.8275862068967
4,2,934,303389.0,324.8276231263383,2.798309030388917,16.103448275862068,5230.8448275862065
4,3,639,232734.0,364.21596244131456,2.7172641954729273,11.017241379310345,4012.655172413793
4,4,868,359395.0,414.04953917050693,2.1614945190674693,14.96551724137931,6196.4655172413795
4,5,728,285036.0,391.532967032967,2.4611473409128557,12.551724137931034,4914.413793103448
4,6,883,289778.0,328.1744054360136,2.892597178816885,15.224137931034482,4996.172413793103

6,1,705,175784.0,249.33900709219859,3.9201294476787827,16.785714285714285,4185.333333333333
6,2,759,277429.0,365.5191040843215,2.602764622976342,18.071428571428573,6605.452380952381
6,3,404,234360.0,580.0990099009902,1.7169059993965332,9.619047619047619,5580.0
6,4,508,310842.0,611.8937007874016,1.5146861945894694,12.095238095238095,7401.0
6,5,396,188800.0,476.7676767676768,2.0273694880892044,9.428571428571429,4495.238095238095
6,6,834,270027.0,323.77338129496405,2.824906598561804,19.857142857142858,6429.214285714285